,Inst_0,Inst_1,Inst_2,Inst_3,Inst_4,Inst_5,Inst_6,Inst_7,Inst_8,Inst_9,Inst_10,Inst_11,Inst_12,Inst_13,Inst_14,Inst_15,Inst_16,Inst_17,Inst_18,Inst_19,Inst_20,Inst_21,Inst_22,Inst_23,Inst_24,Inst_25,Inst_26,Inst_27,Inst_28,Inst_29,Inst_30,Inst_31,Inst_32,Inst_33,Inst_34,Inst_35,Inst_36,Inst_37,Inst_38,Inst_39,Inst_40,Inst_41,Inst_42,Inst_43,Inst_44,Inst_45,Inst_46,Inst_47,Inst_48,Inst_49
Inst_0,,0.04367594496614141,0.02050275975882773,-0.01190663645324766,0.0461752870321187,0.0026580060961011983,-0.011445795850009042,0.007228749430844833,-0.004504672584676996,0.008606885848412642,0.054836191931325995,0.011478433572692848,-0.06339339100864544,0.029327503062982898,-0.001632076987757132,0.03674789279000285,-0.014732613976787193,-0.004766989425357863,0.027727822647409653,-0.056991425725009884,0.04712912631817745,0.0035427297460215697,0.06033513813109531,0.009378098601954906,8.686661663913933e-05,-0.01608650697423561,0.07998164269780673,-0.007519137081577605,0.006951767245984158,0.04026244670194973,-0.0572523602906572,0.04025724928035037,0.019578287846426144,0.02966291390620264,-0.03989755084008629,0.01589341338411906,0.05798404148695684,0.04899038435721998,0.01881801225366701,0.04874729065681539,-0.010091450334212621,-0.0031734300700385245,-0.01923769240503041,0.0027163069026615353,0.02307603229779665,-0.029733498050645107,-0.045837209935739795,0.059642592778231786,-0.031526615290148566,-0.017514190860592693
Inst_1,0.04367594496614141,,-0.05231572357755155,-0.08287449495953986,0.007103798619183979,-0.0026169232482967635,-0.05143339285903888,-0.015548011614398378,-0.023070721698975265,0.025819703647766416,0.01794158407321765,-0.02398590885623397,-0.019803609528262676,0.015301599620889473,0.011036195678560495,-0.032731335339099776,0.028138910760283683,0.040041556661586875,-0.020668786756358696,0.026669306498804776,0.014712319803351706,-0.028573522300620272,0.03320394270892921,0.03537532802614446,0.0012527568852844684,-0.049387152323895886,0.05433950524714539,-0.012939151999301773,0.02859310456968801,0.012700856476527739,0.028999810782626506,0.023609184718387546,0.0367926026124613,0.0566958555295939,-0.056422373453985604,0.02637173390607122,0.02610733835335322,0.024593675062115322,0.04325207745365513,0.04110088212751427,-0.06291655961005635,-0.02643886451432327,-0.01685736842821081,0.025063362991117426,0.03144117544038642,0.031926873924744414,0.020594240931804904,0.03608338728739937,-0.046181716532708424,0.02377247440886413
Inst_2,0.020502759758827725,-0.05231572357755156,,0.012524268180563753,0.09067156581297671,0.01236341977921425,-0.0037295648611258892,0.014835170096489748,-0.04165521754422818,0.003903874565203885,0.007302817102425365,0.04393445626682349,-0.04157816627691337,0.07495415514966518,0.010165670429389104,0.05518046223467397,0.07066217143981841,0.045287041919276974,-0.037558886565308806,0.06637381130398762,0.009107916372376307,-0.02047749567733414,-0.040648255698112916,-0.02281207984796278,0.009671777635770427,-0.0333971519797001,0.04645684755561869,-0.03922770153815152,0.06484581737307252,-0.016035501126412114,0.013351581711591598,0.001669916771432268,-0.01869910851768141,-0.012809969209642016,0.06324784564404078,-0.035348208228029844,0.06008387743708442,0.033281357941915175,0.02830246081441423,-0.027603489577808043,-0.031389400804633934,0.015339524097290811,-0.013828134471977272,-0.0012545703808354478,-0.015958085334311374,-0.019255517581951494,0.003497505569969401,-0.0001500470742982798,0.0712972797374971,0.06910126844107527
Inst_3,-0.011906636453247658,-0.08287449495953986,0.012524268180563753,,0.022359304274081757,-0.0053475686468181394,0.02715237354803089,0.0834920626762892,0.01445805628261249,-0.04171587075867989,0.013104169910414661,0.011414840728636499,-0.04285229701684261,-0.014332386460431206,-0.014272535645460105,-0.03743716944751735,0.00784427369433532,0.02488463593653778,-0.022697294523398547,0.011966362498026918,-0.05119956486543076,-0.06811350838243091,-0.01837048153915543,-0.03142246081874183,0.007029777088042823,-0.07972562366832732,-0.05042289938424295,-0.04876934795014396,0.027981244595802528,-0.007924976693543462,-0.06648445505992949,-0.009405631053071167,0.03351605735163504,-0.09316596069267764,0.04946959149165614,0.0034741532499327284,7.524425185984541e-05,0.03136834255012134,0.05949821777831961,0.021138634736678947,-0.033486364713796665,-0.03508833368934422,0.00956513744769875,-0.01122765970662798,-0.03761360917698215,0.0027749565405568504,0.016025037955066976,0.013160906197556237,0.06587934167546744,-0.031489047407373544
Inst_4,0.046175287032118706,0.007103798619183978,0.09067156581297671,0.022359304274081757,,0.0628872362873246,-0.024689511931423373,-0.0006457714487992527,0.007056880188643675,-0.0008754686546587223,0.028718035606665023,0.03383688717950453,0.042273975964774,0.01188587804521484,-0.029245688494855208,-0.009417984225900875,-0.009354201044896688,-0.008638246616927034,-0.009298798781104994,0.02139857324550277,0.00901041246501453,-0.04787244221118493,0.0190627556052861,-0.03346393959959574,-0.034316671119201114,0.015206957124689542,0.020265778442366676,-0.013552744748552874,0.021297488951826416,-0.012986196148735365,0.0011912273371612824,-0.06205837344339552,0.020152227054247452,-0.05371909231916363,-0.03259512990499533,0.020560485817154757,-0.03768642741004026,0.006974160448743479,0.0378356536632144,-0.04390768096064005,-0.009026245234572653,-0.0011503318088728308,0.008133889495049052,-0.07226729916282468,-0.024639244206471476,-0.06781539667519598,-0.07566090842359698,0.026336170262099813,-0.016828318551058995,0.017782100182772615
Inst_5,0.0026580060961011987,-0.0026169232482967635,0.01236341977921425,-0.0053475686468181394,0.0628872362873246,,-0.03480367464167634,0.04384157923638822,-0.04890609380957491,0.060633755696404404,-0.023140583465763368,-0.025372000364799124,0.06437479142787933,-0.002170070313698224,-0.012253865142453307,0.023550906669334633,-0.023924676420412065,-0.00887293578611906,0.015923433862938437,0.024675138827924555,-0.016344137823115685,0.0986755300866902,0.008618776982197244,-0.021761119844681154,-0.05947096905686626,0.003330591432485121,0.040785622455650906,0.016556468043570485,0.07039159366029346,0.038083250829092544,0.022870613536760637,0.024339897901982963,0.003950614339866362,0.023029609376397267,0.003664627577087467,0.029798965634971537,0.0609832216060142,0.06435814140024325,0.03933042807654663,-0.016308433505622288,-0.03388522791925061,0.04380951760395369,0.07750227599670141,-0.007285036620785517,-0.03253834154794188,-0.029053952358712297,0.03513808632244028,-0.010603503229731444,-0.029405517858473097,0.07209147987310233
Inst_6,-0.011445795850009042,-0.05143339285903888,-0.0037295648611258892,0.027152373548030885,-0.02468951193142337,-0.03480367464167633,,0.012590161795851556,0.0249393972305939,0.005128187202650328,-0.004236612784827674,-0.04679187134233193,-0.0276346604851867,-0.007699626568510798,0.02597859245625455,-0.03741033731066002,-0.006241296201310463,-0.028178277890208603,0.02895821898052606,0.04379021678886965,-0.03980268524772132,0.026227091207937918,-0.00611382010153777,-0.0030311090512967443,-0.04346507249501501,-0.011840436135751737,0.035690600934723545,-0.04465090855726156,-0.0691399572448471,-0.02450481205862011,-0.024373744163443064,-0.03760020948957905,-0.05952023762190592,-0.039550649499318906,-0.014723765064950904,0.017424793648270265,-0.06059796638702416,0.009839392895235595,0.02589630364142124,0.0028876520352649412,0.05077554610023792,0.016247240316638517,-0.02501215854473003,0.05072358954469771,0.04818639317790264,0.05077890932779227,0.008563090482027387,0.019760217549386457,0.021453741382751065,0.04450463014106083
Inst_7,0.007228749430844833,-0.01554801161439838,0.014835170096489748,0.0834920626762892,-0.0006457714487992528,0.04384157923638821,0.012590161795851556,,0.03214091094170016,-0.07778022366014886,-0.005239466025272367,0.014713757546915977,0.0065539333439056735,0.0647668880657441,-0.022977411346234856,0.08350137154450359,-0.026467127621642612,-0.04989325750224166,0.050733456064058845,0.007092934040771593,0.02459364374151496,0.04316060883308426,0.006521793041173199,0.09141606135328006,-0.0043812307059977315,-0.019683333781457233,0.05984130146621698,-0.03346718624152456,0.03806118038929409,0.0032434092997040147,-0.027145503945669266,-1.784380702300218e-05,0.04093823113255194,0.007251495163341391,0.026439572037015087,0.03953834703748251,0.02987796199798834,-0.049163242792808606,0.11477600824910261,0.05596768958901786,0.030638441119799208,0.01081370690001469,-0.020229656606712706,-0.03388516103743344,0.03136710468640759,0.0025717708798779063,0.029413565410389312,0.05135096001563758,0.0029504417068075797,0.09281959147676323
Inst_8,-0.004504672584676996,-0.023070721698975265,-0.04165521754422818,0.01445805628261249,0.007056880188643675,-0.04890609380957491,0.024939397230593904,0.03214091094170016,,-0.04302922164621683,0.03088938359130255,0.03543339632238287,0.0018228579099488008,0.005438841575717919,0.016220325415765194,0.005548096729991061,-0.04227728165013534,0.005180557664422823,0.036499656116738805,-0.008157711130992439,-0.023928891823500553,-0.034389745442235845,0.08141636004528303,0.06717890371148474,-0.03638943271174928,-0.003991674838329915,-0.002814030737105972,0.010057480084725227,-0.03142229637878671,-0.06767026145087941,-0.03979275935867562,-0.04484932284446396,0.023379536025163152,0.0206308377681726,-0.01554792304565964,-0.008456053583324286,-0.10219120916805227,0.01962130083633647,0.04220151037567049,0.0124173714996465,0.01296233070313372,0.05558701104987033,-0.04505634096721961,-0.019987399751196493,0.05012471117570904,0.028403182206100292,0.021840075516635853,0.039687974338275915,0.07498322367632657,-0.023479813685891245
Inst_9,0.008606885848412642,0.025819703647766416,0.003903874565203885,-0.04171587075867989,-0.0008754686546587223,0.06063375569640441,0.005128187202650328,-0.07778022366014886,-0.04302922164621683,,0.03131037662150975,-0.017465064477146103,0.00960750159757645,0.10159821443970722,0.06463276252700069,0.0014847499122497862,-0.015360342652722962,0.04342973268343656,-0.002276426918374978,0.03872987336151465,-0.07291146041718372,0.00478625874135428,-0.0574063006575826,0.024265595051490257,0.020361754095029234,0.06623755822652114,-0.01485959395317328,0.069762894282997,-0.06023454107575663,-0.02732706764757416,0.09601834571314763,-0.02323759517562359,0.00527430108767275,0.026149252897823726,0.02886081899062395,-0.04896707387522735,0.0427618062575704,0.019300736865751685,0.030981706862025202,0.0931721619658013,-0.008503546712966789,-0.0015509179310741028,0.062301475858496415,-0.03534341399549428,0.07513698881407668,-0.022936585584511674,-0.029382007505747102,0.062361422627491905,-0.035373799254112846,0.09214808070973815
